Timestamp,Average_Difference,Total_Difference
1694948060.1360462,0,0.0
1694948061.2518346,0,0.0
1694948067.2699263,0,0.0
1694948074.4467695,0,0.0
1694948084.136293,0.09307146072387695,0.09307146072387695
1694948086.1176083,0,0.0
1694948098.296077,0,0.0
1694948114.8263977,0.0010535717010498047,0.0010535717010498047
1694948120.864758,0,0.0
1694948131.592383,0,0.0
1694948146.2827032,0,0.0
1694948149.8315866,0,0.0
1694948157.0343285,0,0.0
1694948158.2667186,0,0.0
1694948166.6823742,0,0.0
1694948170.177122,0,0.0
1694948175.3373504,0,0.0
1694948180.7026024,0,0.0
1694948182.5210874,0,0.0
1694948183.5726495,0,0.0
1694948183.8204699,0,0.0
1694948185.8584685,0,0.0
1694948193.9489017,0,0.0
1694948195.7811024,0,0.0
1694948205.0948586,0,0.0
1694948218.3542848,0,0.0
1694948235.3346875,0,0.0
1694948238.4502008,0,0.0
1694948246.1921406,0,0.0
1694948247.6633594,0,0.0
1694948250.3354445,0,0.0
1694948259.0692768,0,0.0
1694948268.4353209,0,0.0
1694948271.094933,0,0.0
1694948274.6264768,0,0.0
1694948285.7485664,0,0.0
1694948292.9425602,0,0.0
1694948295.8096123,0,0.0
1694948296.667251,0,0.0
1694948306.0922785,0,0.0
1694948317.4846635,0,0.0
1694948320.6686752,0,0.0
1694948322.16572,0,0.0
1694948325.6551442,0,0.0
1694948341.6871583,0,0.0
1694948345.898453,0,0.0
1694948346.6696618,0,0.0
1694948349.812363,0,0.0
1694948355.3159277,0,0.0
1694948359.1765745,0,0.0
1694948372.8721857,0,0.0
1694948377.0582175,0,0.0
1694948379.904617,0,0.0
1694948397.8744712,0,0.0
1694948404.176022,0,0.0
1694948408.219632,0,0.0
1694948413.825785,0,0.0
1694948414.900176,0,0.0
1694948427.3013928,0,0.0
1694948436.8021936,0,0.0
1694948437.0490892,0,0.0
1694948439.7850506,0,0.0
1694948442.3275816,0,0.0
1694948473.1880543,0,0.0
1694948475.6061614,0,0.0
1694948491.0894103,0,0.0
1694948494.8379912,0,0.0
1694948503.573641,0,0.0
1694948515.5404472,0,0.0
1694948515.5733728,0,0.0
1694948516.4112618,0,0.0
1694948517.5896952,0,0.0
1694948526.595258,0,0.0
1694948536.2828128,0,0.0
1694948557.4663734,0,0.0
1694948563.8873916,0,0.0
1694948565.0658422,0,0.0
1694948575.787216,0,0.0
1694948577.1588743,0,0.0
1694948591.984118,0,0.0
1694948595.3283803,0.0022766590118408203,0.0022766590118408203
1694948599.575256,0,0.0
1694948604.4333758,0,0.0
1694948609.7596946,0,0.0
1694948619.762734,0,0.0
1694948633.8023288,0,0.0
1694948634.55221,0,0.0
1694948641.6271124,0,0.0
1694948644.3421724,0,0.0
1694948649.0569372,0,0.0
1694948656.6641798,0,0.0
1694948671.9006195,0,0.0
1694948679.1408393,0,0.0
1694948686.975941,0,0.0
1694948691.6173098,0,0.0
1694948694.3951557,0,0.0
1694948705.154382,0,0.0
1694948713.6797202,0.0008826255798339844,0.0008826255798339844
1694948716.0354803,0.08916640281677246,0.08916640281677246
1694948717.3512645,0,0.0
1694948723.9146895,0,0.0
1694948743.2369902,0,0.0
1694948753.5918162,0,0.0
1694948761.6014142,0,0.0
1694948767.7440124,0,0.0
1694948769.004872,0,0.0
1694948784.1126661,0,0.0
1694948784.3055172,0.0009357929229736328,0.0009357929229736328
1694948785.674926,0,0.0
1694948787.4246237,0,0.0
1694948804.1201127,0,0.0
1694948833.4314125,0,0.0
1694948837.2209234,0,0.0
1694948845.4478917,0,0.0
1694948864.370146,0,0.0
1694948872.4374254,0,0.0
1694948874.3231103,0,0.0
1694948883.126654,0,0.0
1694948884.7627912,0,0.0
1694948891.5379338,0,0.0
1694948896.4121716,0,0.0
1694948901.8178997,0,0.0
1694948906.0593522,0,0.0
1694948915.370916,0,0.0
1694948935.1275218,0,0.0
1694948936.1294847,0,0.0
1694948955.4768739,0,0.0
1694948963.8484,0,0.0
1694948970.9962804,0,0.0
1694948976.4246733,0,0.0
1694948977.0584881,0,0.0
1694949009.18,0,0.0
1694949012.2789743,0,0.0
1694949035.5149605,0,0.0
1694949037.6444027,0,0.0
1694949037.9151373,0,0.0
1694949038.0435765,0,0.0
1694949039.567752,0,0.0
1694949041.8992577,0,0.0
1694949050.767497,0,0.0
1694949052.9163864,0,0.0
1694949063.7336135,0,0.0
1694949066.5158029,0,0.0
1694949068.8565824,0,0.0
1694949072.8804243,0,0.0
1694949081.4833746,0.09311747550964355,0.09311747550964355
1694949088.3211098,0,0.0
1694949111.9746525,0,0.0
1694949115.4580925,0,0.0
1694949120.8807187,0,0.0
1694949124.580747,0,0.0
1694949146.2919302,0,0.0
1694949147.3861794,0,0.0
1694949163.5170817,0,0.0
1694949165.7619905,0,0.0
1694949171.4590945,0,0.0
1694949173.1177995,0,0.0
1694949182.4911253,0,0.0
1694949186.9019213,0,0.0
1694949199.7459524,0,0.0
1694949202.4480941,0,0.0
1694949217.5563762,0,0.0
1694949221.2617316,0,0.0
1694949221.4938173,0,0.0
1694949232.8150184,0,0.0
1694949241.9918044,0,0.0
1694949243.8015332,0,0.0
1694949252.7524872,0,0.0
1694949260.9344096,0,0.0
1694949274.4456635,0,0.0
1694949281.0506146,0,0.0
1694949287.937082,0,0.0
1694949290.649901,0,0.0
1694949291.5355597,0,0.0
1694949314.3230553,0,0.0
1694949314.5693924,0,0.0
1694949314.8386075,0,0.0
1694949330.8597457,0,0.0
1694949351.4501486,0,0.0
1694949357.711079,0,0.0
1694949359.753979,0,0.0
1694949380.6929882,0,0.0
1694949386.486715,0,0.0
1694949398.9021177,0,0.0
1694949402.9941318,0,0.0
1694949411.3174615,0,0.0
1694949422.0733023,0,0.0
1694949429.3190055,0,0.0
1694949430.5196826,0,0.0
1694949448.1808834,0,0.0
1694949461.9457796,0,0.0
1694949484.1929996,0,0.0
1694949485.465351,0,0.0
1694949489.019724,0,0.0
1694949493.9454048,0,0.0
1694949501.7938318,0,0.0
1694949516.4966729,0,0.0
1694949516.7205045,0.22382044792175293,0.22382044792175293
1694949519.9979727,0,0.0
1694949528.4689326,0,0.0
1694949530.1921768,0.0012552738189697266,0.0012552738189697266
1694949545.7668283,0,0.0
1694949551.37404,0,0.0
1694949590.055657,0,0.0
1694949590.630411,0,0.0
1694949594.2957313,0,0.0
1694949610.6117225,0,0.0
1694949615.0887432,0,0.0
1694949618.0532982,0,0.0
1694949618.7929835,0,0.0
1694949625.129385,0,0.0
1694949631.3688595,0,0.0
1694949652.787346,0,0.0
1694949658.589788,0,0.0
1694949659.1942856,0,0.0
1694949689.8227103,0,0.0
1694949695.9365695,0,0.0
1694949696.830022,0,0.0
1694949712.235496,0,0.0
1694949715.455282,0,0.0
1694949717.8137934,0,0.0
1694949728.4082742,0,0.0
1694949735.9396856,0,0.0
1694949751.2233062,0,0.0
1694949751.717733,0,0.0
1694949754.5625722,0,0.0
1694949758.7913456,0,0.0
1694949790.6258867,0,0.0
1694949794.6169803,0,0.0
1694949804.996817,0,0.0
1694949810.4220946,0,0.0
1694949820.5548701,0,0.0
1694949823.7833176,0,0.0
1694949830.2631636,0.008744001388549805,0.008744001388549805
1694949835.9866881,0,0.0
1694949842.3364017,0,0.0
1694949848.3521845,0,0.0
1694949849.291234,0,0.0
1694949850.7887647,0,0.0
1694949851.1208909,0,0.0
1694949860.4783664,0,0.0
1694949865.02035,0,0.0
1694949870.357803,0,0.0
1694949895.2915437,0,0.0
1694949905.149136,0,0.0
1694949915.323533,0,0.0
1694949918.7315779,0,0.0
1694949919.5480947,0,0.0
1694949925.6460128,0,0.0
1694949949.6331866,0,0.0
1694949952.8980198,0,0.0
1694949973.315667,0,0.0
1694949978.643949,0,0.0
1694949979.396507,0,0.0
1694949986.896583,0,0.0
1694949987.5158865,0,0.0
1694949996.7253838,0,0.0
1694950008.3266425,0,0.0
1694950009.178445,0,0.0
1694950010.8118002,0,0.0
1694950011.6390514,0,0.0
1694950019.5444937,0,0.0
1694950021.2392013,0,0.0
1694950028.7049835,0.046260714530944824,0.09252142906188965
1694950031.1906374,0,0.0
1694950037.5654266,0,0.0
1694950048.1517403,0,0.0
1694950051.3844147,0,0.0
1694950052.0798976,0,0.0
1694950081.4901805,0,0.0
1694950084.8898551,0,0.0
1694950091.8284981,0,0.0
1694950100.445865,0,0.0
1694950105.7736478,0,0.0
1694950111.8870752,0,0.0
1694950113.5788195,0,0.0
1694950119.227605,0,0.0
1694950123.4952152,0,0.0
1694950134.7028048,0,0.0
1694950142.0213609,0,0.0
1694950142.472954,0,0.0
1694950159.5487661,0,0.0
1694950170.514372,0,0.0
1694950176.782418,0,0.0
1694950177.6404657,0,0.0
1694950190.5539734,0,0.0
1694950238.3423312,0,0.0
1694950247.5664601,0,0.0
1694950260.4350438,0,0.0
1694950264.7402027,0,0.0
1694950278.2456357,0,0.0
1694950287.0018823,0,0.0
1694950296.1968777,0,0.0
1694950296.9717758,0,0.0
1694950299.8390658,0,0.0
1694950303.7551837,0,0.0
1694950309.1097398,0,0.0
1694950311.4506688,0,0.0
1694950311.639265,0,0.0
1694950325.5020885,0,0.0
1694950326.8860776,0,0.0
1694950327.8406477,0,0.0
1694950334.310943,0,0.0
1694950349.317069,0,0.0
1694950359.3734627,0,0.0
1694950360.645544,0.008832693099975586,0.008832693099975586
1694950364.44556,0,0.0
1694950367.4231107,0,0.0
1694950368.3970056,0,0.0
1694950407.3864427,0,0.0
1694950412.774356,0,0.0
1694950414.8417835,0,0.0
1694950415.5610676,0,0.0
1694950425.4763217,0,0.0
1694950430.1007612,0.1284945011138916,0.1284945011138916
1694950431.5442848,0,0.0
1694950432.8528225,0,0.0
1694950442.42297,0,0.0
1694950472.0743225,0,0.0
1694950487.9347184,0,0.0
1694950496.509224,0,0.0
1694950498.6152432,0,0.0
1694950510.0589714,0,0.0
1694950524.7702382,0,0.0
1694950535.881006,0,0.0
1694950536.15275,0,0.0
1694950542.252973,0,0.0
1694950547.8390684,0,0.0
1694950556.8720174,0,0.0
1694950563.4257202,0,0.0
1694950563.4560537,0.014893770217895508,0.014893770217895508
1694950566.5104034,0,0.0
1694950568.9743817,0,0.0
1694950581.7374759,0,0.0
1694950601.4745822,0,0.0
1694950605.8813102,0,0.0
1694950606.7882962,0,0.0
1694950608.7919033,0,0.0
1694950622.7895796,0,0.0
1694950634.7216232,0,0.0
1694950635.157558,0,0.0
1694950654.3966017,0,0.0
1694950671.2143602,0,0.0
1694950675.295435,0,0.0
1694950679.1421027,0,0.0
1694950679.9301221,0,0.0
1694950699.209615,0,0.0
1694950699.8574488,0,0.0
1694950705.442746,0,0.0
1694950737.7872376,0,0.0
1694950742.2157104,0,0.0
1694950743.305648,0,0.0
1694950746.059299,0,0.0
1694950751.4113212,0,0.0
1694950754.5806694,0,0.0
1694950760.025082,0,0.0
1694950764.246274,0,0.0
1694950777.059593,0,0.0
1694950789.7470267,0,0.0
1694950796.0923343,0,0.0
1694950802.5019283,0,0.0
1694950803.1109543,0.08812499046325684,0.08812499046325684
1694950804.260642,0,0.0
1694950804.3944588,0,0.0
1694950811.9735878,0,0.0
1694950829.032514,0.0024874210357666016,0.0024874210357666016
1694950829.2616727,0,0.0
1694950835.2514167,0,0.0
1694950841.0426836,0,0.0
1694950844.3708773,0,0.0
1694950850.2705703,0,0.0
1694950853.113934,0,0.0
1694950878.72015,0,0.0
1694950886.6891696,0,0.0
1694950892.6142817,0,0.0
1694950901.9428823,0,0.0
1694950907.6403599,0,0.0
1694950911.589289,0,0.0
1694950915.9446595,0.10394811630249023,0.10394811630249023
1694950917.6171446,0,0.0
1694950921.348645,0,0.0
1694950957.3140247,0,0.0
1694950962.2308893,0,0.0
1694950971.954879,0,0.0
1694950977.894828,0,0.0
1694950979.0827534,0,0.0
1694950983.4303992,0,0.0
1694950987.4399025,0,0.0
1694950996.320031,0,0.0
1694951010.848968,0,0.0
1694951012.6125727,0,0.0
1694951016.398031,0,0.0
1694951020.2526972,0,0.0
1694951020.3863137,0,0.0
1694951038.2543528,0,0.0
1694951038.6304138,0.37618470191955566,0.37618470191955566
1694951040.5765564,0,0.0
1694951050.0983405,0,0.0
1694951060.4162478,0,0.0
1694951068.3589444,0,0.0
1694951069.7449605,0,0.0
1694951073.216918,0,0.0
1694951075.4911573,0,0.0
1694951081.422059,0,0.0
1694951083.9496632,0,0.0
1694951096.1008964,0,0.0
1694951096.1097603,0,0.0
1694951097.4755695,0,0.0
1694951107.697487,0,0.0
1694951110.814683,0,0.0
1694951111.1272185,0,0.0
1694951123.8600738,0,0.0
1694951126.806203,0,0.0
1694951132.176519,0,0.0
1694951135.2147827,0,0.0
1694951136.902928,0,0.0
1694951138.2669396,0,0.0
1694951138.7457373,0,0.0
1694951139.0716774,0,0.0
1694951148.4807746,0,0.0
1694951151.2605531,0,0.0
1694951154.849015,0,0.0
1694951162.908737,0,0.0
1694951163.9945836,0,0.0
1694951166.458247,0,0.0
1694951176.8430252,0,0.0
1694951177.6396146,0,0.0
1694951182.471222,0,0.0
1694951186.603485,0,0.0
1694951197.104532,0,0.0
1694951215.1720502,0,0.0
1694951244.0921304,0,0.0
1694951264.8709543,0,0.0
1694951264.9652035,0,0.0
1694951267.5527751,0,0.0
1694951270.1384387,0,0.0
1694951278.0562518,0,0.0
1694951281.7444162,0,0.0
1694951285.5752902,0,0.0
1694951294.1515272,0,0.0
1694951310.5069816,0,0.0
1694951316.02359,0,0.0
1694951320.856986,0,0.0
1694951326.5694995,0,0.0
1694951329.7907336,0,0.0
1694951342.5014422,0,0.0
1694951343.8240342,0,0.0
1694951349.5214286,0,0.0
1694951355.1236932,0,0.0
1694951366.3804932,0,0.0
1694951389.482184,0,0.0
1694951395.9871697,0,0.0
1694951398.6394198,0,0.0
1694951429.719416,0,0.0
1694951438.4023724,0,0.0
1694951440.8599007,0,0.0
1694951445.4884117,0,0.0
1694951447.4617484,0,0.0
1694951449.8144467,0,0.0
1694951456.275994,0.009920358657836914,0.009920358657836914
1694951463.546401,0,0.0
1694951466.618625,0.08755683898925781,0.08755683898925781
1694951470.101126,0.002186298370361328,0.002186298370361328
1694951472.9509373,0,0.0
1694951485.0294216,0,0.0
1694951491.66507,0,0.0
1694951493.7923326,0,0.0
1694951506.6790855,0,0.0
